"item_id","title","url","content_status","canonical_url","category","primary_keyword","supporting_keywords","search_intent","content_role","topic_cluster","pillar_url","pillar_status","paired_content_urls","keyword_evidence","keyword_market","market_tier","market_rationale","keyword_volume","keyword_sd","keyword_cpc_usd","keyword_checked_on","canonical_action","gsc_market","gsc_top_query","gsc_clicks_period","gsc_impressions_period","gsc_ctr_percent_period","gsc_avg_position_period","gsc_period","priority","last_content_review","last_gsc_refresh","notes"
"proplogai-live-glossary-overall-drawdown-limit","Overall Drawdown Limit | PropLogAI Glossary","https://proplogai.com/glossary/overall-drawdown-limit","live","https://proplogai.com/glossary/overall-drawdown-limit","Prop Firm Rules","overall drawdown limit","maximum loss prop firm | total drawdown limit | prop firm loss limit","Definition","Definition","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/glossary/drawdown | https://proplogai.com/blogs/prop-firm-risk-management","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep and strengthen","","","","","","","","P1","2026-09-24","","Explain static and trailing variation. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-overconfidence","Overconfidence | PropLogAI Glossary","https://proplogai.com/glossary/overconfidence","live","https://proplogai.com/glossary/overconfidence","Psychology","overconfidence in trading","overconfidence bias trading | trader overconfidence | overconfidence meaning","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/tracking-trading-emotions","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-overtrading","Overtrading | PropLogAI Glossary","https://proplogai.com/glossary/overtrading","live","https://proplogai.com/glossary/overtrading","Discipline","overtrading","what is overtrading | overtrading meaning | overtrading definition","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/blogs/overtrading-prop-firm-challenges","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","India","overtrading","0","19","0%","90.4","2026-07-06/2026-09-17","P1","2026-09-24","2026-09-24","Canonical definition owner with 28 exact impressions. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-pattern-recognition","Pattern Recognition | PropLogAI Glossary","https://proplogai.com/glossary/pattern-recognition","live","https://proplogai.com/glossary/pattern-recognition","AI Coaching","trading pattern recognition","journal pattern recognition | trading behaviour patterns | AI journal patterns","Definition","Definition","AI Coaching and Journal Analytics","https://proplogai.com/blogs/ai-trading-coach-prop-firm","Current","https://proplogai.com/blogs/ai-journal-pattern-detection","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Journal-data pattern definition. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-performance-report","Performance Report | PropLogAI Glossary","https://proplogai.com/glossary/performance-report","live","https://proplogai.com/glossary/performance-report","Performance Analytics","trading performance report","trading report meaning | journal performance report | trading metrics report","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/blogs/prop-firm-pnl-calendar | https://proplogai.com/blogs/ai-journal-pattern-detection","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition supports planned performance pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-position-sizing","Position Sizing | PropLogAI Glossary","https://proplogai.com/glossary/position-sizing","live","https://proplogai.com/glossary/position-sizing","Risk Management","position sizing","what is position sizing in trading | position sizing formula | trade position sizing","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/risk-per-trade","Current search review","India / English","Primary","PropLogAI's primary audience is India.","590","45","0","2026-09-24","Keep and expand","","","","","","","","P2","2026-09-24","","Definition owner and future calculator support. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-pre-market-routine","Pre-Market Routine | PropLogAI Glossary","https://proplogai.com/glossary/pre-market-routine","live","https://proplogai.com/glossary/pre-market-routine","Discipline","pre market routine","pre trading routine | trading preparation checklist | trader morning routine","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/blogs/prop-firm-trading-rulebook","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-profit-factor","Profit Factor | PropLogAI Glossary","https://proplogai.com/glossary/profit-factor","live","https://proplogai.com/glossary/profit-factor","Performance Analytics","profit factor","what is profit factor in trading | trading profit factor | profit factor calculation","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/expectancy | https://proplogai.com/glossary/win-rate","Current search review","India / English","Primary","PropLogAI's primary audience is India.","170","18","0","2026-09-24","Keep and expand","","","","","","","","P1","2026-09-24","","Strong definition opportunity. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-profit-target","Profit Target | PropLogAI Glossary","https://proplogai.com/glossary/profit-target","live","https://proplogai.com/glossary/profit-target","Prop Firm Rules","prop firm profit target","profit target meaning | challenge profit target | funded account profit target","Definition","Definition","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/glossary/prop-firm-challenge","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Variation-aware definition. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-prop-firm-challenge","Prop Firm Challenge | PropLogAI Glossary","https://proplogai.com/glossary/prop-firm-challenge","live","https://proplogai.com/glossary/prop-firm-challenge","Prop Firm Rules","prop firm challenge","prop firm evaluation | trading challenge | funded trader challenge","Definition","Definition","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/blogs/forex-trading-for-beginners","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Variation-aware definition. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-revenge-trading","Revenge Trading | PropLogAI Glossary","https://proplogai.com/glossary/revenge-trading","live","https://proplogai.com/glossary/revenge-trading","Psychology","revenge trading","revenge trading meaning | revenge trading psychology | revenge trade","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/revenge-trading-prop-firm","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner with application guide. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-risk-per-trade","Risk Per Trade | PropLogAI Glossary","https://proplogai.com/glossary/risk-per-trade","live","https://proplogai.com/glossary/risk-per-trade","Risk Management","risk per trade","risk per trade meaning | risk percentage per trade | trade risk calculation","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/position-sizing","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Definition owner without personalised sizing advice. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-risk-reward-ratio","Risk-Reward Ratio | PropLogAI Glossary","https://proplogai.com/glossary/risk-reward-ratio","live","https://proplogai.com/glossary/risk-reward-ratio","Risk Management","risk reward ratio","risk reward ratio meaning | risk reward formula | risk to reward trading","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/risk-per-trade","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-rule-based-trading","Rule-Based Trading | PropLogAI Glossary","https://proplogai.com/glossary/rule-based-trading","live","https://proplogai.com/glossary/rule-based-trading","Discipline","rule based trading","rules based trading system | systematic trading rules | trading rule adherence","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/blogs/prop-firm-trading-rulebook","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-setup-compliance","Setup Compliance | PropLogAI Glossary","https://proplogai.com/glossary/setup-compliance","live","https://proplogai.com/glossary/setup-compliance","Discipline","setup compliance","trading setup compliance | rule adherence trading | setup checklist compliance","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/blogs/overtrading-prop-firm-challenges | https://proplogai.com/blogs/trading-journal-fields","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","PropLogAI-specific review concept. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-sharpe-ratio","Sharpe Ratio | PropLogAI Glossary","https://proplogai.com/glossary/sharpe-ratio","live","https://proplogai.com/glossary/sharpe-ratio","Performance Analytics","Sharpe ratio in trading","Sharpe ratio meaning | risk adjusted return | Sharpe ratio formula","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/equity-curve","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Explain limits for individual trade review. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-stop-loss","Stop Loss | PropLogAI Glossary","https://proplogai.com/glossary/stop-loss","live","https://proplogai.com/glossary/stop-loss","Risk Management","stop loss","stop loss meaning | stop loss order | trading stop loss","Definition","Definition","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/risk-per-trade","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Educational definition only. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-tilt","Tilt | PropLogAI Glossary","https://proplogai.com/glossary/tilt","live","https://proplogai.com/glossary/tilt","Psychology","tilt in trading","trading tilt meaning | emotional tilt trading | trader tilt","Definition","Definition","Trading Psychology and Emotions","https://proplogai.com/blogs/trading-psychology-prop-firm","Current","https://proplogai.com/blogs/revenge-trading-prop-firm","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-trade-management","Trade Management | PropLogAI Glossary","https://proplogai.com/glossary/trade-management","live","https://proplogai.com/glossary/trade-management","Discipline","trade management","trade management meaning | managing an open trade | trading process management","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/glossary/trading-plan","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Keep educational and signal-free. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-trade-review","Trade Review | PropLogAI Glossary","https://proplogai.com/glossary/trade-review","live","https://proplogai.com/glossary/trade-review","Journaling","trade review","post trade review | trading review process | review a trade","Definition","Definition","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/blogs/weekly-trading-review-template | https://proplogai.com/blogs/monthly-trading-review-template","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-trading-journal","Trading Journal | PropLogAI Glossary","https://proplogai.com/glossary/trading-journal","live","https://proplogai.com/glossary/trading-journal","Journaling","trading journal","what is a trading journal | trade journal meaning | trading journal definition","Definition","Definition","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/blogs/trading-journal-fields","Current search review","India / English","Primary","PropLogAI's primary audience is India.","8100","37","0.03","2026-09-24","Keep and strengthen","","","","","","","","P1","2026-09-24","","Broad definition demand with pillar differentiation. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-trading-plan","Trading Plan | PropLogAI Glossary","https://proplogai.com/glossary/trading-plan","live","https://proplogai.com/glossary/trading-plan","Discipline","trading plan","trading plan meaning | written trading plan | trading plan rules","Definition","Definition","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/blogs/prop-firm-trading-rulebook","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Definition owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-glossary-win-rate","Win Rate | PropLogAI Glossary","https://proplogai.com/glossary/win-rate","live","https://proplogai.com/glossary/win-rate","Performance Analytics","trading win rate","win rate formula | trading win percentage | calculate win rate","Definition","Definition","Trading Performance Metrics","https://proplogai.com/blogs/trading-performance-metrics","Planned","https://proplogai.com/glossary/profit-factor | https://proplogai.com/glossary/expectancy","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Definition supports planned performance pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
